Population,Row,Cross,PlantNo,,,,,
Oil Mapping Pop 201,N18-1737,MX15-1,200,,,,,
Oil Mapping Pop 201,N18-1738,MX15-1,201,,,,,
Oil Mapping Pop 201,N18-1739,MX15-1,202,,,,,
Oil Mapping Pop 201,N18-1740,MX15-1,203,,,,,
Oil Mapping Pop 201,N18-1741,MX15-1,204,,,,,
Oil Mapping Pop 201,N18-1742,MX15-1,206,,,,,
Oil Mapping Pop 201,N18-1743,MX15-1,207,,,,,
Oil Mapping Pop 201,N18-1744,MX15-1,208,,,,,
Oil Mapping Pop 201,N18-1745,MX15-1,209,,,,,
Oil Mapping Pop 201,N18-1746,MX15-1,210,,,,,
Oil Mapping Pop 201,N18-1747,MX15-1,211,,,,,
Oil Mapping Pop 201,N18-1748,MX15-1,212,,,,,
Oil Mapping Pop 201,N18-1749,MX15-1,213,,,,,
Oil Mapping Pop 201,N18-1750,MX15-1,215,,,,,
Oil Mapping Pop 201,N18-1751,MX15-1,216,,,,,
Oil Mapping Pop 201,N18-1752,MX15-1,217,,,,,
Oil Mapping Pop 201,N18-1753,MX15-1,218,,,,,
Oil Mapping Pop 201,N18-1754,MX15-1,219,,,,,
Oil Mapping Pop 201,N18-1755,MX15-1,220,,,,,
Oil Mapping Pop 201,N18-1756,MX15-1,221,,,,,
Oil Mapping Pop 201,N18-1757,MX15-1,222,,,,,
Oil Mapping Pop 201,N18-1758,MX15-1,224,,,,,
Oil Mapping Pop 201,N18-1759,MX15-1,225,,,,,
Oil Mapping Pop 201,N18-1760,MX15-1,226,,,,,
Oil Mapping Pop 201,N18-1761,MX15-1,227,,,,,
Oil Mapping Pop 201,N18-1762,MX15-1,228,,,,,
Oil Mapping Pop 201,N18-1763,MX15-1,229,,,,,
Oil Mapping Pop 201,N18-1764,MX15-1,230,,,,,
Oil Mapping Pop 201,N18-1765,MX15-1,231,,,,,
Oil Mapping Pop 201,N18-1766,MX15-1,232,,,,,
Oil Mapping Pop 201,N18-1767,MX15-1,233,,,,,
Oil Mapping Pop 201,N18-1768,MX15-1,234,,,,,
Oil Mapping Pop 201,N18-1769,MX15-1,235,,,,,
Oil Mapping Pop 201,N18-1770,MX15-1,236,,,,,
Oil Mapping Pop 201,N18-1771,MX15-1,237,,,,,
Oil Mapping Pop 201,N18-1772,MX15-1,238,,,,,
Oil Mapping Pop 201,N18-1773,MX15-1,239,,,,,
Oil Mapping Pop 201,N18-1774,MX15-1,240,,,,,
Oil Mapping Pop 201,N18-1775,MX15-1,241,,,,,
Oil Mapping Pop 201,N18-1776,MX15-1,242,,,,,
Oil Mapping Pop 201,N18-1777,MX15-1,243,,,,,
Oil Mapping Pop 201,N18-1778,MX15-1,244,,,,,
Oil Mapping Pop 201,N18-1779,MX15-1,245,,,,,
Oil Mapping Pop 201,N18-1780,MX15-1,246,,,,,
Oil Mapping Pop 201,N18-1781,MX15-1,247,,,,,
Oil Mapping Pop 201,N18-1782,MX15-1,250,,,,,
Oil Mapping Pop 201,N18-1783,MX15-1,252,,,,,
Oil Mapping Pop 201,N18-1784,MX15-1,253,,,,,
Oil Mapping Pop 201,N18-1785,MX15-1,254,,,,,
Oil Mapping Pop 201,N18-1786,MX15-1,255,,,,,
Oil Mapping Pop 201,N18-1787,MX15-1,256,,,,,
Oil Mapping Pop 201,N18-1788,MX15-1,257,,,,,
Oil Mapping Pop 201,N18-1789,MX15-1,258,,,,,
Oil Mapping Pop 201,N18-1790,MX15-1,259,,,,,
Oil Mapping Pop 201,N18-1791,MX15-1,260,,,,,
Oil Mapping Pop 201,N18-1792,MX15-1,261,,,,,
Oil Mapping Pop 201,N18-1793,MX15-1,262,,,,,
Oil Mapping Pop 201,N18-1794,MX15-1,264,,,,,
Oil Mapping Pop 201,N18-1795,MX15-1,265,,,,,
Oil Mapping Pop 201,N18-1796,MX15-1,268,,,,,
Oil Mapping Pop 201,N18-1797,MX15-1,269,,,,,
Oil Mapping Pop 201,N18-1798,MX15-1,270,,,,,
Oil Mapping Pop 201,N18-1799,MX15-1,271,,,,,
Oil Mapping Pop 201,N18-1800,MX15-1,272,,,,,
Oil Mapping Pop 201,N18-1801,MX15-1,273,,,,,
Oil Mapping Pop 201,N18-1802,MX15-1,274,,,,,
Oil Mapping Pop 201,N18-1803,MX15-1,275,,,,,
Oil Mapping Pop 201,N18-1804,MX15-1,276,,,,,
Oil Mapping Pop 201,N18-1805,MX15-1,277,,,,,
Oil Mapping Pop 201,N18-1806,MX15-1,278,,,,,
Oil Mapping Pop 201,N18-1807,MX15-1,279,,,,,
Oil Mapping Pop 201,N18-1808,MX15-1,281,,,,,
Oil Mapping Pop 201,N18-1809,MX15-1,282,,,,,
Oil Mapping Pop 201,N18-1810,MX15-1,283,,,,,
Oil Mapping Pop 201,N18-1811,MX15-1,284,,,,,
Oil Mapping Pop 201,N18-1812,MX15-1,285,,,,,
Oil Mapping Pop 201,N18-1813,MX15-1,287,,,,,
Oil Mapping Pop 201,N18-1814,MX15-1,288,,,,,
Oil Mapping Pop 201,N18-1815,MX15-1,289,,,,,
Oil Mapping Pop 201,N18-1816,MX15-1,290,,,,,
Oil Mapping Pop 201,N18-1817,MX15-1,293,,,,,
Oil Mapping Pop 201,N18-1818,MX15-1,294,,,,,
Oil Mapping Pop 201,N18-1819,MX15-1,295,,,,,
Oil Mapping Pop 201,N18-1820,MX15-1,296,,,,,
Oil Mapping Pop 201,N18-1821,MX15-1,298,,,,,
Oil Mapping Pop 201,N18-1822,MX15-1,299,,,,,
Oil Mapping Pop 201,N18-1823,MX15-1,300,,,,,
Oil Mapping Pop 201,N18-1824,MX15-1,301,,,,,
Oil Mapping Pop 201,N18-1825,MX15-1,302,,,,,
Oil Mapping Pop 201,N18-1826,MX15-1,650,,,,,
Oil Mapping Pop 201,LMN09-119,LMN09-119,LMN09-119,,,,,
Oil Mapping Pop 201,N09-09,N09-09,N09-09,,,,,
Oil Mapping Pop 202,LMN09-19,LMN09-19,LMN09-19,,,,,
Oil Mapping Pop 202,N13-47,N13-47,N13-47,,,,,
Oil Mapping Pop 202,N18-1831,MX15-6,303,,,,,
Oil Mapping Pop 202,N18-1832,MX15-6,304,,,,,
Oil Mapping Pop 202,N18-1833,MX15-6,305,,,,,
Oil Mapping Pop 202,N18-1834,MX15-6,306,,,,,
Oil Mapping Pop 202,N18-1835,MX15-6,307,,,,,
Oil Mapping Pop 202,N18-1836,MX15-6,308,,,,,
Oil Mapping Pop 202,N18-1837,MX15-6,309,,,,,
Oil Mapping Pop 202,N18-1838,MX15-6,310,,,,,
Oil Mapping Pop 202,N18-1839,MX15-6,311,,,,,
Oil Mapping Pop 202,N18-1840,MX15-6,312,,,,,
Oil Mapping Pop 202,N18-1841,MX15-6,315,,,,,
Oil Mapping Pop 202,N18-1842,MX15-6,316,,,,,
Oil Mapping Pop 202,N18-1843,MX15-6,319,,,,,
Oil Mapping Pop 202,N18-1844,MX15-6,321,,,,,
