Column1,Column2,Column3
PI ,Common Name (from GRIN),
PI424021B,74019,
PI424022A,74020,
PI424022B,74020,
PI424023,74021,
PI424024,74022,
PI424025A,74023,
PI424025B,74023,
PI424025C,74023,
PI424026,74024,
PI424027A,74025,
PI424027B,74025,
PI424028,74026,
PI424029,74027,
PI424056,74028,
PI424057,74029,
PI424058,74030,
PI424059A,74031,
PI424059B,74031,
PI424060,74032,
PI424030,74033,
PI424031,74034,
PI424032,74035,
PI424033,74036,
PI424034,74037,
PI424035,74038,
PI424036,74039,
PI424037,74040,
PI424061A,74041,
PI424061B,74041,
PI424062,74042,
PI424063,74043,
PI424064,74044,
PI424065,74045,
PI424066,74046,
PI424067,74048,
PI424068,74049,
PI424069,74050,
PI424070A,74051,
PI424070B,74051,
PI424071,74052,
PI424038A,74053,
PI424038B,74053,
PI424038C,74053,
PI424039A,74054,
PI424039B,74054,
PI424040,74055,
PI424041,74056,
PI424042,74057,
PI424043A,74058,
PI424043B,74058,
PI424044,74059,
PI424045,74060,
PI424046A,74061,
PI424046B,74061,
PI424047,74062,
PI424048,74063,
PI424049,74064,
PI424050,74065,
PI424051A,74066,
PI424051B,74066,
PI424052,74067,
PI424053,74068,
PI424054A,74069,
PI424054B,74069,
PI424055,74070,
PI424072A,74071,
PI424072B,74071,
PI424073,74072,
PI424074,74073,
PI424075,74074,
PI424076A,74075,
PI424076B,74075,
PI424077,74076,
PI424078,74077,
PI424079,74079,
PI424080,74080,
PI424081A,74081,
PI424081B,74081,
PI424082,74082,
PI424083A,74083,
PI424083B,74083,
PI424084,74085,
PI424086,74086,
PI424087,74087,
PI424088,74088,
PI424089,74089,
PI424090,74090,
PI424091A,74091,
PI424091B,74091,
PI424092,74092,
PI424093,74093,
PI424094,74094,
PI424095,74095,
PI424097,74096,
PI424098,74097,
PI424099A,74098,
PI424099B,74098,
PI424100A,74099,
PI424100B,74099,
PI424101,74100,
PI424102A,74101,
PI424102B,74101,
PI424103A,74102,
PI424103B,74102,
PI424104,74103,
PI424105,74104,
PI424106A,74105,
PI424106B,74105,
PI424107A,74106,
PI424107B,74106,
PI424108,74107,
PI424109A,74108,
PI424109B,74108,
PI424110,74109,
PI424111,74111,
PI424112,74112,
PI424113,74113,
PI424114A,74114,
PI424114B,74114,
PI424115A,74115,
PI424115B,74115,
PI424116,74116,
PI424117,74117,
PI424118,74118,
PI424125,74119,
PI424126,74120,
PI424127A,74121,
PI424127B,74121,
PI424128A,74122,
PI424128B,74122,
PI424129,74123,
PI424120,74127,
PI424121,74129,
PI424122,74134,
PI424123,74137,
PI424124,74145,
PI424096,74148,
PI424085A,74159,
PI424085B,74159,
PI424119,74179,
PI504286,75042,
PI632303,88401,
PI612744,89445,
PI636114,90505,
PI632704,96004,
PI632309,96008,
PI632705,96838,
PI632695,103321,
PI636122,132963,
PI265491,133225,
PI632317,149928,
PI632703,151167,
PI636118,152167,
PI636113,164851,
PI632707,203314,
PI636111,208463,
PI672498,210197,
PI672499,210342,
PI636117,211948,
PI636112,212930,
PI471941,220013,
PI471942,220028,
PI636115,221524,
PI636119,235908,
PI636116,236101,
PI636123,275934,
PI647985,330738,
PI647986,358232,
PI636124,361380,
PI636110,384279,
PI647987,385457,
PI647988,387907,
PI647989,437973,
PI647990,457028,
PI673055,1045636,
PI669972,1045652,
PI674113,1045656,
PI673056,1045681,
PI671841,1045692,
PI673057,1045695,
PI674114,1045696,
PI673058,1045703,
PI674115,1045730,
PI669985,1045742,
PI673059,1045746,
PI673060,1045748,
PI669986,1045749,
PI673061,1045798,
PI674116,1045953,
PI674117,1045954,
PI673062,1045962,
PI673063,1045970,
PI674118,1046035,
PI674119,1046058,
PI674120,1046060,
PI674121,1046182,
PI673064,1046238,
PI673065,1046250,
PI669987,1046251,
PI673110,1046289,
PI673111,1046291,
PI674122,1046302,
PI673066,1046317,
PI673067,1046394,
PI674123,1046551,
PI673068,1046642,
PI673069,1046750,
PI673070,1046852,
PI674124,1046878,
PI669988,1046882,
PI674125,1046898,
PI673071,1046909,
PI669989,1046941,
PI674126,1046942,
PI674127,1046948,
PI669973,1046965,
PI669974,1046975,
PI673072,1050478,
PI673073,1050485,
PI675568,1050561,
PI675605,1050596,
PI675613,1050611,
PI675569,1050668,
PI675570,1050762,
PI675571,1050834,
PI674128,1050893,
PI675572,1050913,
PI674129,1050918,
PI674130,1050923,
PI674131,1050938,
PI675615,1050939,
PI675616,1050982,
PI673112,1051014,
PI675573,1051034,
PI673113,1051039,
PI674132,1051076,
PI674133,1051085,
PI675574,1051117,
PI674134,1051140,
PI674135,1051516,
PI673114,1051522,
PI673115,1051528,
PI674136,1051540,
PI674137,1051545,
PI674138,1051547,
PI674139,1051550,
PI674140,1051556,
PI674141,1051559,
PI674142,1051574,
PI674143,1051581,
PI674144,1051583,
PI674145,1051585,
PI674146,1051589,
PI674147,1051603,
PI676995,1051604,
PI678840,1051641,
PI675575,1051773,
PI675576,1051779,
PI675603,1051835,
PI675577,1051842,
PI675578,1051877,
PI675579,1051938,
PI673074,1052002,
PI673075,1052058,
PI675580,1052085,
PI675581,1052094,
PI675582,1052098,
PI675583,1052110,
PI673076,1052125,
PI675593,1052136,
PI674148,1052164,
PI674149,1052171,
PI674150,1052173,
PI678841,1056929,
PI675604,1056963,
PI675611,1057052,
PI678842,1057072,
PI676276,1057115,
PI675584,1057162,
PI678843,1057181,
PI675608,1057255,
PI675609,1057325,
PI678844,1057348,
PI675610,1057383,
PI678845,1057408,
PI675612,1057497,
PI678846,1058444,
PI678813,1058469,
PI675597,1058472,
PI675617,1058475,
PI678814,1058513,
PI675598,1058524,
PI678815,1058528,
PI678816,1058529,
PI675606,1058565,
PI678817,1058606,
PI675585,1058613,
PI675586,1058627,
PI675587,1058664,
PI675588,1058668,
PI675594,1058683,
PI678818,1058698,
PI678798,1058711,
PI678819,1058714,
PI678826,1058718,
PI675589,1058730,
PI675590,1058733,
PI675591,1058741,
PI675592,1058744,
PI675595,1058749,
PI675607,1058766,
PI678827,1058767,
PI675599,1058771,
PI675596,1058772,
PI675600,1058780,
PI675601,1058789,
PI675602,1058808,
PI678828,1058822,
PI678829,1058861,
PI678830,1058863,
PI678831,1058864,
PI675614,1059874,
PI678832,1062055,
PI678806,1062058,
PI678807,1063878,
PI678808,1063884,
PI678809,1063886,
PI678810,1063888,
PI678811,1063892,
PI678812,1063894,
PI678833,1063900,
PI678834,1063902,
PI678835,1063903,
PI678836,1063906,
PI678837,1063907,
PI678838,1063916,
PI678839,1063918,
PI678799,1063920,
PI678800,1063921,
PI678801,1063928,
PI678802,1063935,
PI678803,1063939,
PI678804,1063940,
PI685658,1063959,
PI685659,1064013,
PI685660,1064026,
PI685712,1064033,
PI685710,1064036,
PI685711,1064054,
PI685662,1064056,
PI685661,1064083,
PI685663,1064099,
PI685664,1064102,
PI685665,1064104,
PI685666,1064105,
PI678805,1064108,
PI678820,1064124,
PI678821,1064143,
PI678822,1064148,
PI678823,1064152,
PI678824,1064169,
PI678825,1064177,
PI685704,1064187,
PI685707,1064198,
PI685667,1064212,
PI685708,1064245,
PI685713,1064289,
PI685714,1064317,
PI685715,1064338,
PI685645,1064439,
PI685668,1064460,
PI685669,1064594,
PI685670,1064596,
PI685671,1064613,
PI685672,1064625,
PI685673,1064633,
PI685674,1064635,
PI685675,1064636,
PI685676,1064667,
PI685677,1064669,
PI685678,1064672,
PI685679,1064676,
PI685680,1064677,
PI685681,1064694,
PI685682,1064722,
PI685683,1064723,
PI685684,1064735,
PI685685,1064743,
PI685686,1064748,
PI685687,1064756,
PI685688,1064775,
PI685646,1064806,
PI685689,1064809,
PI685705,1064838,
PI685649,1064840,
